count,software,version
4,mastodon,3.1.1
4,mastodon,3.0.2
4,ktistec,2.0.0-4
4,hubzilla,7.8.4
4,hubzilla,4.6
4,goblog,
4,gnusocial,2.0.0-dev
4,gitea,1.17.3
4,funkwhale,1.2.9
4,funkwhale,1.2.3+git.dc35000d
4,funkwhale,1.2.3
4,diaspora,0.7.17.0
4,akkoma,3.3.1
4,activityrelay,0.2.3
4,activityrelay,0.2.0 ???
4,activity-relay,v1.1.1
4,Mobilizon,3.0.0-dirty
4,Immers Space,3.6.0
3,writefreely,0.8.1
3,wordpress,6.0.1
3,wordpress,5.4.12
3,plume,0.6.0
3,pleroma,2.4.55-917-g36789986-develop
3,pleroma,2.4.52-1759-g512398a5.develop+soapbox
3,pleroma,2.4.52-1753-g64efa18c.develop+soapbox
3,pleroma,2.4.52-1748-g98ccf6cb.develop+soapbox
3,pleroma,2.4.2-8-gb34f0a6e-release-2-4-2
3,pleroma,2.4.0-516-gdc63aaf8
3,pleroma,2.4.0
3,pleroma,2.0.7-stable
3,pleroma,1.0.6
3,mitra,1.6.0
3,misskey,12.97.1
3,misskey,12.107.0
3,misskey,12.101.1
3,misskey,11.37.1-20221123062651
3,mastodon,4.0.2~moew
3,mastodon,4.0.2-asonix-changes
3,mastodon,4.0.2+simpreative.221122.c
3,mastodon,3.5.5+glitch
3,mastodon,3.5.0+glitch
3,mastodon,3.2.2
3,mastodon,3.0.0
3,lotide,0.13.0-dev
3,hubzilla,7.8
3,hubzilla,7.2.2
3,hubzilla,6.0.1
3,honk,develop
3,groundpolis,2022.07.03
3,gancio,1.4.4
3,funkwhale,1.2.0
3,fedibird,0.1
3,epicyon,0.0.0
3,drupal,1.0.0-alpha3
3,diaspora,0.7.16.0-p82291ed7
3,diaspora,0.7.13.0-pc2a991fe
3,cherrypick,12.119.0-cp-3.0.0
3,calckey,12.119.0-calc.15.5
3,calckey,12.119.0-calc.15
3,brighteon,3.4.6
3,aoderelay,v0.3.66-HEAD-89a9e20d4ad3474eacf1b66f2a5799f7c90876de
3,akkoma,3.4.0-95-g19272be0-develop
3,akkoma,3.4.0-104-g9deae8c5-develop
3,akkoma,3.3.1-0-gaf90a4e51
3,activityrelay,0.2.3 6e494ee67117bcb0abf964ecb824ae6602722cc6
3,activity-relay,v1.1.0
3,activity-relay,v1.0.0
3,Mobilizon,2.1.0-dirty
3,Immers Space,4.0.1
2,zap,22.09.25
2,wxwClub,0.0.5
2,wordpress,6.2-alpha-54888
2,wordpress,5.9.3
2,wordpress,4.9.20
2,takahe,0.4.0
2,plume,0.3.0
2,pleroma,2.4.55-921-g20790c1d-develop
2,pleroma,2.4.53-888-g3d1828f4-develop
2,pleroma,2.4.53-885-gca420719-wgdevelop
2,pleroma,2.4.53-863-g9f708037-develop
2,pleroma,2.4.53-855-gda0ef154-develop
2,pleroma,2.4.53-855-gda0ef154
2,pleroma,2.4.53-851-g7a519b6a-develop
2,pleroma,2.4.52-836-g3f1c31b7-develop
2,pleroma,2.4.52-1755-g54daefae.develop+soapbox
2,pleroma,2.4.51-472-g8517bc18
2,pleroma,2.4.3+dev
2,pleroma,2.4.1-0-gd0ca9bcaa-hostdon-latest
2,pleroma,2.3.50-197-g115673bc-develop
2,pleroma,2.0.3-stable
2,pixelfed,0.10.9
2,peertube,5.0.0-rc.1
2,peertube,4.3.1-nightly-2022-11-29
2,peertube,4.3.0-rc.1
2,peertube,3.2.0
2,peertube,1.3.0
2,misskey,12.91.0
2,misskey,12.120.0-simkey-alpha.6-b1
2,misskey,12.119.0-posky-12.11.2
2,misskey,12.119.0-22.09.2
2,misskey,12.119.0+klapy
2,misskey,12.117.0
2,misskey,12.111.1
2,misskey,10.102.603-m544
2,microblogpub,Microblog.pub 669fec0
2,microblogpub,2.0.0+ynh1
2,microblogpub,2.0.0+afd253a1
2,microblogpub,2.0.0+a435cd33
2,mastodon,4.0.2notalive
2,mastodon,4.0.2-plusminus.15
2,mastodon,4.0.2+glitch_1126_6517b7b
2,mastodon,4.0.2+glitch_1117_8c56441
2,mastodon,4.0.2+glitch+freaku
2,mastodon,4.0.2+aethy
2,mastodon,4.0.0rc4+glitch
2,mastodon,3.5.3~island
2,mastodon,3.5.2+glitch
2,mastodon,3.5.0rc1+glitch
2,mastodon,3.4.6+cs
2,mastodon,3.4.10+glitch+atsu1125
2,mastodon,3.4.1+glitch
2,mastodon,3.3.3
2,mastodon,3.2.0+glitch
2,mastodon,3.1.0rc2
2,lemmy,0.16.1
2,ktistec,1.0.0
2,kbin,0.10.1
2,hubzilla,7.9.9
2,hubzilla,7.0.3
2,hubzilla,6.4.2
2,hubzilla,5.2.2
2,hubzilla,4.4.1
2,gnusocial,2.0.0-beta0
2,gitea,1.16.8
2,funkwhale,1.2.8+git.e3c81ca3
2,funkwhale,1.2.8+git.d24f6fbc
2,funkwhale,1.2.7
2,funkwhale,1.2.2+git.ddb7023f
2,funkwhale,1.1.2+git.ea4be336
2,funkwhale,1.1.2
2,funkwhale,1.0.1+git.68bc76bc
2,friendica,3.5.2-1227
2,friendica,2022.09-dev-1481
2,friendica,2021.12-rc-1448
2,friendica,2021.12-rc-1445
2,friendica,2020.09-1-1369
2,friendica,2020.07-1355
2,dolphin,1.4.0-20220709205730
2,diaspora,0.7.18.0-p7f1c57ff
2,diaspora,0.7.18.0
2,diaspora,0.7.14.0
2,diaspora,0.7.10.0-p663da1ef
2,bookwyrm,0.2.0
2,bonfire,0.3.6--beta.7
2,birdsitelive,0.18.0
2,aoderelay,v0.3.66
2,aoderelay,v0.3.61-HEAD-c3b50bc94ee47e4e5bfb24df48b3da6cf3ed9219
2,aoderelay,v0.3.50-main-10777c32abd34520cc11d024bea8f9f8f94b6fde
2,aoderelay,v0.3.34-HEAD-e37314355e321d9db95d15b455e4a46343d4bd3e
2,akkoma,3.4.0-121-g2fe1484e-develop
2,akkoma,3.4.0-109-gfb5f846e-develop
2,akkoma,3.4.0-100-g2a1f17e3-develop
2,activityrelay,0.2.0 454f46f04b4caba93b097aebd3c67d7724782d13
2,activityrelay,0.1 970102809dd7c65518c3174140dc6e28604fe5f7
2,activityrelay,0.1 1e8acd3c0b474725df1c19f67eeddfed34cd079d
2,activity-relay,v1.2.0
2,activity-relay,v1.1.2rc1
2,activity-relay,v1.1.2
2,Coma,v0.0.1
1,writefreely,0.8.1-18-g372b4e5
1,writefreely,0.2.1-1403-ge1df1fe
1,writefreely,0.13.1-6-g8d0e49d
1,writefreely,0.13.1-5-g97a5121
1,writefreely,0.13.1-5-g46bb8e6
1,writefreely,0.13.0rc1
1,writefreely,0.12.0-277-g967ee96
1,writefreely,0.12.0-173-g53ea85d
1,writefreely,0.11.2
1,writefreely,0.10.0
1,wordpress,5.9
1,wordpress,5.8.4
1,wordpress,5.5.9
1,wordpress,5.3.14
1,woox,1.0
1,video4b_prtb,4.3.0
1,unciarelay,0.1.1
1,tksm,1.0.0
1,takesama,1.1.0
1,socialhome,0.16.0-dev
1,smithereen,0.4.4-dev.11+b773930d
1,smithereen,0.4.4
1,sequel,0.13.0
1,selective-relay,0.2.0
1,revolver,0.0.0.0.0.0.0.0.0.0.1
1,reel2bits,0.0.1
1,pub-relay,0.2.0-m1
1,pub-relay,0.2.0
1,psh,2.0.0
1,plume,0.7.1-dev
1,plume,0.7.0
1,pleroma,Pleroma 0.9.0 d93789dfde3c44c76a56732088a897ddddfe9716
