count,software,version
1,friendica,2021.12-dev-1443
1,friendica,2021.12-dev-1437
1,friendica,2021.06-dev-1414
1,friendica,2020.09-dev-1364
1,friendica,2020.07-1-1355
1,foundkey,13.0.0-preview2-nullobsi
1,feditools-relay,v0.8.2-f3d26c1
1,federated,0.0.1
1,drupal,1.0.0-alpha2
1,diaspora,1.0.0-dev-pd60202dd
1,diaspora,1.0.0-dev-pb994fee6
1,diaspora,1.0.0-dev-pa0ba4565
1,diaspora,1.0.0-dev-p9aa94cb5
1,diaspora,1.0.0-dev-p86674b41
1,diaspora,1.0.0-dev-p5f6b01e0
1,diaspora,0.7.99.0-p865c36bc
1,diaspora,0.7.99.0-p58483bdd
1,diaspora,0.7.99.0-p37a7c0b3
1,diaspora,0.7.99.0-p32b676ee
1,diaspora,0.7.99.0-p2fe50064
1,diaspora,0.7.99.0-p1b227057
1,diaspora,0.7.99.0
1,diaspora,0.7.7.0-pd8c1b4f4
1,diaspora,0.7.5.0-p42ceb8b3
1,diaspora,0.7.4.0-pd0313756
1,diaspora,0.7.18.1-pf73eb1ba
1,diaspora,0.7.18.1-p9d089b4d
1,diaspora,0.7.18.1-p30acbf03
1,diaspora,0.7.18.1
1,diaspora,0.7.18.0-p31beb6a8
1,diaspora,0.7.17.0-pba142fd5
1,diaspora,0.7.17.0-p656302e9
1,diaspora,0.7.16.0
1,diaspora,0.7.10.0
1,diaspora,0.6.99.0
1,diaspora,0.5.3.1
1,circle,0.1.0
1,castling.club,n/a
1,calckey,12.119.3-Bark
1,calckey,12.119.0-calc.9.24
1,calckey,12.119.0-calc.7
1,calckey,12.119.0-calc.17.6-kt.1
1,calckey,12.119.0-calc.17.6
1,calckey,12.119.0-calc.17.5
1,calckey,12.119.0-calc.17.2
1,calckey,12.119.0-calc.16.4
1,calckey,12.119.0-calc.14.6
1,calckey,12.119.0-calc.14
1,calckey,12.119.0-calc.12.17
1,calckey,12.119.0-calc.12
1,bookwyrm,0.4.1
1,bookwyrm,0.4.0
1,bookwyrm,0.3.4
1,bonfire,0.3.6--beta.6
1,bonfire,0.3.5--beta.16
1,birdsitelive,0.20.0+fishe
1,birdsitelive,0.19.1
1,barkshark-social,0.0.1
1,areionskey,1.6.1
1,aoderelay,v0.3.66-main-4d8e1a72418bdf990eca5831b097f9e4e28712f1
1,aoderelay,v0.3.59-HEAD-a0195d94aa3bc5e6c0cdf95475d25b7b674dd606
1,aoderelay,v0.3.56-HEAD-d44db2eab509aeafc80acfd1a6be280ea21a8cef
1,aoderelay,v0.3.52-HEAD-95f98ec052b0aa7e92a6d61c1c1aff51b14e21c7
1,aoderelay,v0.3.52
1,aoderelay,v0.3.31-main-1f87c0f913ce3e08e0628d3b1f3edde2a8995b4d
1,akkoma,3.4.0-heads-v3-4-0
1,akkoma,3.4.0-akkoma
1,akkoma,3.4.0-99-g893bfde6-develop
1,akkoma,3.4.0-4-gbe3ce5a7-tailswish
1,akkoma,3.4.0-153-g90dc8e03-va-11-hall-a
1,akkoma,3.4.0-139-g2d019e14-develop
1,akkoma,3.4.0-135-ga8571c62-develop
1,akkoma,3.4.0-129-ge3085c49-develop
1,akkoma,3.4.0-126-gec1d903f-develop
1,akkoma,3.4.0-125-g5ad760e0-develop
1,akkoma,3.4.0-120-g1c4ca20f-develop
1,akkoma,3.4.0-116-g7624ea5f-develop
1,akkoma,3.4.0-111-g6453297e-develop
1,akkoma,3.4.0-101-g3e0a5851-develop
1,akkoma,3.4.0-0-gde1bbc028-develop
1,akkoma,3.4.0-0-gd4ca1217d-develop
1,akkoma,3.4.0-0-g9deae8c-develop
1,akkoma,3.4.0-0-g0e211269b-develop
1,akkoma,3.4.0-0-g0cfd5b4e8-develop
1,akkoma,3.4.0-0-g0cfd5b4-develop
1,akkoma,3.3.1-86-g539c6d66-develop
1,akkoma,3.3.1-73-g7bbaa8f8-develop
1,akkoma,3.3.1-48-g91e20f76-nya
1,akkoma,3.3.1-1051-gd2710e83-fox
1,akkoma,3.3.1-0-gccdf55acf-develop
1,akkoma,3.3.1-0-gba132a7
1,akkoma,3.3.1-0-g9038da01c-develop
1,akkoma,3.3.0-0-g5e7be063c
1,akkoma,3.2.0-32-gdea37968
1,akkoma,3.2.0-23-g9b2c169c-develop
1,akkoma,3.2.0-0-g07295f7c8-develop
1,akkoma,3.1.0-3-gc52982e9
1,akkoma,3.0.1-0-gd0b7d37cd
1,akkoma,3.0.0-0-ga4a7f4cad
1,akkoma,3.0.0
1,akkoma,2.5.2-0-gf91903566-develop
1,activityrelay,0.2.3 a640db8f0636ba675dd9325471d607ac4507bb5c
1,activityrelay,0.2.3 32764a1f93956e2c237c689aaf31389feceb9264
1,activityrelay,0.2.2 7732a860e9f419f0e8b4b276c2e361b9407c764b
1,activityrelay,0.2.1 a2b0b2f5485b082a19f121944a637b9ea96b336b
1,activityrelay,0.2.1
1,activityrelay,0.2.0 729477820fec4ac29e232eabc1a8421e088b945c
1,activityrelay,0.1 e56d909fe20107f00875854c0ae19e72753fc79a
1,activityrelay,0.1 b5e2a05e48e46a1fcf94e355ae79910a2f14f22d
1,activityrelay,0.1 ad077755f381826188850a92a5e790cef9e7178d
1,activityrelay,0.1 80a8c9b391a6332b535ea3d2151d2f1516aa5059
1,activity-relay,v1.2.1
1,activity-relay,v1.2.0-11-g033e7de
1,activity-relay,v1.1.2rc1-2-g8512875
1,activity-relay,v1.1.2rc1-1-gafc037c
1,activity-relay,v0.2.7-1-gb138b70
1,acropolis,0.7.99.0
1,Turkum,0.11.0
1,Sweati Test Server,0.0.1
1,Simple Social Network,1.0
1,PubGate,0.3.4
1,Pleroma,0.9.0-2438-ge914eeb6
1,Owncast,20220120-nightly
1,Ohagi,0.0.1-dev
1,Mobilizon,3.0.1-dirty
1,Mobilizon,2.1.0-rotes.potsda.mn
1,Mobilizon,2.1.0-cottbus.vonunten.org
1,Mobilizon,2.0.1
1,Mobilizon,1.3.2
1,Mobilizon,1.2.3-dirty
1,Mobilizon,1.1.3
1,Mobilizon,1.0.2
1,Mobilizon,1.0.0-rc.4
1,Mobilizon,1.0.0-76-gc0591567
1,Mobilizon,1.0.0-60-g3051e947
1,Juick,2.x
1,Immers Space,4.0.0
1,Guppe Groups,1.2.0
1,GORF Network - Activity Pub,1.0.0
1,ContentNation,1.0.0
1,Calckey,12.119.5-mint
1,Bacn,
1,Anfora,0.1
1,,0.3.6--beta.4
1,,0.3.5--beta.21
1,,
